date,role,program,transport_mode,distance_km,travel_energy_kwh,travel_co2_kg,personal_computer_kwh,personal_computer_co2_kg,students_trained,lab_energy_kwh,total_daily_co2_kg
2025-01-29,Trainer,SkillsBuild,Cab,60.78,15.19,7.29,0.24,0.2,46,0.92,8.24
2025-01-12,Trainer,TechSaksham,Auto,97.63,19.53,8.79,0.24,0.2,49,0.98,9.79
2025-01-06,Trainer,Skills4Future,Flight,1377.65,688.83,206.65,0.24,0.2,45,0.9,207.58
2025-01-24,Trainer,Code Unnati,Taxi,43.76,11.82,5.69,0.24,0.2,47,0.94,6.66
2025-01-15,Trainer,SkillSaksham,Cab,44.42,11.1,5.33,0.24,0.2,40,0.8,6.18
2025-01-18,Trainer,TechSaksham,Auto,93.43,18.69,8.41,0.24,0.2,54,1.08,9.49
2025-02-14,Trainer,Skills4Future,Auto,37.19,7.44,3.35,0.24,0.2,44,0.88,4.27
2025-02-26,Trainer,TechSaksham,Taxi,58.2,15.71,7.57,0.24,0.2,59,1.18,8.73
2025-02-23,Trainer,SkillSaksham,Flight,1425.3,712.65,213.8,0.24,0.2,56,1.12,214.91
2025-02-27,Trainer,SkillsBuild,Cab,45.81,11.45,5.5,0.24,0.2,43,0.86,6.4
2025-02-15,Trainer,Code Unnati,Cab,57.68,14.42,6.92,0.24,0.2,45,0.9,7.86
2025-02-16,Trainer,SkillsBuild,Auto,45.61,9.12,4.11,0.24,0.2,57,1.14,5.24
2025-02-20,Trainer,SkillSaksham,Cab,90.56,22.64,10.87,0.24,0.2,58,1.16,12.02
2025-02-05,Trainer,Skills4Future,Cab,57.15,14.29,6.86,0.24,0.2,57,1.14,7.99
2025-02-28,Trainer,TechSaksham,Taxi,39.76,10.74,5.17,0.24,0.2,46,0.92,6.12
2025-02-09,Trainer,SkillsBuild,Flight,1438.32,719.16,215.75,0.24,0.2,52,1.04,216.8
2025-02-10,Trainer,Skills4Future,Cab,89.3,22.32,10.72,0.24,0.2,48,0.96,11.7
2025-02-06,Trainer,Code Unnati,Auto,47.43,9.49,4.27,0.24,0.2,52,1.04,5.32
2025-02-02,Trainer,Skills4Future,Auto,28.38,5.68,2.55,0.24,0.2,59,1.18,3.72
2025-02-19,Trainer,SkillSaksham,Taxi,98.74,26.66,12.84,0.24,0.2,52,1.04,13.89
2025-02-04,Trainer,Code Unnati,Auto,96.88,19.38,8.72,0.24,0.2,51,1.02,9.75
2025-02-18,Trainer,Code Unnati,Taxi,70.55,19.05,9.17,0.24,0.2,46,0.92,10.12
2025-03-26,Trainer,TechSaksham,Cab,47.76,11.94,5.73,0.24,0.2,55,1.1,6.83
2025-03-13,Trainer,SkillSaksham,Auto,55.58,11.12,5.0,0.24,0.2,54,1.08,6.09
2025-03-30,Trainer,TechSaksham,Auto,53.21,10.64,4.79,0.24,0.2,56,1.12,5.9
2025-03-20,Trainer,SkillsBuild,Auto,88.83,17.77,8.0,0.24,0.2,55,1.1,9.09
2025-03-25,Trainer,Code Unnati,Auto,72.8,14.56,6.55,0.24,0.2,52,1.04,7.6
2025-03-04,Trainer,TechSaksham,Cab,74.85,18.71,8.98,0.24,0.2,47,0.94,9.95
2025-03-03,Trainer,Skills4Future,Cab,22.41,5.6,2.69,0.24,0.2,56,1.12,3.8
2025-03-22,Trainer,SkillsBuild,Flight,858.45,429.22,128.77,0.24,0.2,52,1.04,129.82
2025-03-01,Trainer,SkillSaksham,Auto,93.72,18.74,8.43,0.24,0.2,56,1.12,9.55
2025-03-19,Trainer,Skills4Future,Auto,88.0,17.6,7.92,0.24,0.2,53,1.06,8.99
2025-03-17,Trainer,Code Unnati,Taxi,12.58,3.4,1.64,0.24,0.2,42,0.84,2.52
2025-03-09,Trainer,SkillsBuild,Cab,92.17,23.04,11.06,0.24,0.2,51,1.02,12.09
2025-03-12,Trainer,SkillsBuild,Flight,946.67,473.34,142.0,0.24,0.2,45,0.9,142.94
2025-03-06,Trainer,TechSaksham,Cab,88.06,22.02,10.57,0.24,0.2,42,0.84,11.45
2025-03-08,Trainer,TechSaksham,Cab,44.86,11.22,5.38,0.24,0.2,43,0.86,6.29
2025-03-15,Trainer,SkillSaksham,Taxi,19.32,5.22,2.51,0.24,0.2,51,1.02,3.55
2025-03-14,Trainer,SkillSaksham,Flight,1401.66,700.83,210.25,0.24,0.2,46,0.92,211.2
2025-03-05,Trainer,SkillSaksham,Cab,93.32,23.33,11.2,0.24,0.2,44,0.88,12.12
2025-03-18,Trainer,Code Unnati,Auto,54.18,10.84,4.88,0.24,0.2,47,0.94,5.84
2025-04-20,Trainer,TechSaksham,Cab,48.47,12.12,5.82,0.24,0.2,45,0.9,6.75
2025-04-22,Trainer,Skills4Future,Auto,58.55,11.71,5.27,0.24,0.2,53,1.06,6.34
2025-04-15,Trainer,SkillSaksham,Auto,27.93,5.59,2.51,0.24,0.2,54,1.08,3.6
2025-04-26,Trainer,SkillSaksham,Taxi,13.82,3.73,1.8,0.24,0.2,37,0.74,2.6
2025-04-23,Trainer,SkillsBuild,Taxi,19.7,5.32,2.56,0.24,0.2,46,0.92,3.51
2025-04-06,Trainer,SkillSaksham,Auto,13.56,2.71,1.22,0.24,0.2,44,0.88,2.14
2025-04-12,Trainer,TechSaksham,Flight,1327.53,663.76,199.13,0.24,0.2,55,1.1,200.23
2025-04-21,Trainer,Code Unnati,Flight,1017.38,508.69,152.61,0.24,0.2,40,0.8,153.46
2025-04-27,Trainer,SkillsBuild,Auto,59.87,11.97,5.39,0.24,0.2,46,0.92,6.34
2025-04-08,Trainer,TechSaksham,Cab,53.91,13.48,6.47,0.24,0.2,61,1.22,7.67
2025-04-09,Trainer,SkillsBuild,Auto,76.04,15.21,6.84,0.24,0.2,60,1.2,8.02
2025-04-04,Trainer,Code Unnati,Auto,54.72,10.94,4.92,0.24,0.2,47,0.94,5.89
2025-04-13,Trainer,Code Unnati,Cab,59.29,14.82,7.12,0.24,0.2,46,0.92,8.07
2025-04-18,Trainer,Skills4Future,Auto,70.53,14.11,6.35,0.24,0.2,61,1.22,7.54
2025-04-25,Trainer,TechSaksham,Auto,86.61,17.32,7.8,0.24,0.2,45,0.9,8.73
2025-04-02,Trainer,SkillSaksham,Taxi,46.88,12.66,6.09,0.24,0.2,47,0.94,7.06
2025-04-10,Trainer,SkillsBuild,Taxi,29.41,7.94,3.82,0.24,0.2,40,0.8,4.68
2025-04-01,Trainer,SkillsBuild,Taxi,32.49,8.77,4.22,0.24,0.2,47,0.94,5.19
2025-05-15,Trainer,TechSaksham,Cab,39.15,9.79,4.7,0.24,0.2,55,1.1,5.8
2025-05-02,Trainer,Skills4Future,Flight,963.52,481.76,144.53,0.24,0.2,46,0.92,145.48
2025-05-23,Trainer,TechSaksham,Taxi,33.94,9.16,4.41,0.24,0.2,51,1.02,5.44
2025-05-08,Trainer,TechSaksham,Flight,1427.5,713.75,214.13,0.24,0.2,54,1.08,215.21
2025-05-01,Trainer,SkillsBuild,Taxi,86.68,23.4,11.27,0.24,0.2,52,1.04,12.32
2025-05-06,Trainer,Code Unnati,Cab,44.91,11.23,5.39,0.24,0.2,54,1.08,6.47
2025-05-19,Trainer,Code Unnati,Auto,85.51,17.1,7.7,0.24,0.2,59,1.18,8.86
2025-05-17,Trainer,SkillsBuild,Cab,47.08,11.77,5.65,0.24,0.2,48,0.96,6.63
2025-05-05,Trainer,Skills4Future,Auto,67.89,13.58,6.11,0.24,0.2,48,0.96,7.09
2025-05-13,Trainer,Code Unnati,Cab,38.56,9.64,4.63,0.24,0.2,54,1.08,5.71
2025-05-28,Trainer,Skills4Future,Cab,36.2,9.05,4.34,0.24,0.2,53,1.06,5.41
2025-05-25,Trainer,Code Unnati,Cab,52.47,13.12,6.3,0.24,0.2,49,0.98,7.3
2025-05-29,Trainer,SkillsBuild,Auto,95.24,19.05,8.57,0.24,0.2,53,1.06,9.64
2025-05-10,Trainer,Code Unnati,Auto,42.18,8.44,3.8,0.24,0.2,55,1.1,4.9
2025-05-22,Trainer,TechSaksham,Auto,82.17,16.43,7.4,0.24,0.2,47,0.94,8.36
2025-05-31,Trainer,SkillSaksham,Flight,1389.86,694.93,208.48,0.24,0.2,43,0.86,209.38
2025-05-30,Trainer,Skills4Future,Cab,15.38,3.85,1.85,0.24,0.2,50,1.0,2.86
2025-05-07,Trainer,Skills4Future,Cab,49.77,12.44,5.97,0.24,0.2,54,1.08,7.05
2025-05-09,Trainer,SkillSaksham,Auto,81.61,16.32,7.35,0.24,0.2,50,1.0,8.36
2025-05-14,Trainer,SkillsBuild,Cab,51.83,12.96,6.22,0.24,0.2,60,1.2,7.4
2025-06-27,Trainer,SkillsBuild,Cab,14.19,3.55,1.7,0.24,0.2,55,1.1,2.8
2025-06-08,Trainer,Code Unnati,Cab,36.67,9.17,4.4,0.24,0.2,44,0.88,5.32
2025-06-06,Trainer,TechSaksham,Cab,18.21,4.55,2.19,0.24,0.2,41,0.82,3.05
2025-06-25,Trainer,SkillsBuild,Auto,20.13,4.03,1.81,0.24,0.2,44,0.88,2.73
2025-06-04,Trainer,SkillsBuild,Cab,66.29,16.57,7.96,0.24,0.2,61,1.22,9.15
2025-06-30,Trainer,SkillsBuild,Flight,980.79,490.4,147.12,0.24,0.2,46,0.92,148.07
2025-06-18,Trainer,Skills4Future,Cab,27.74,6.93,3.33,0.24,0.2,44,0.88,4.25
2025-06-05,Trainer,Skills4Future,Flight,1422.73,711.37,213.41,0.24,0.2,50,1.0,214.43
2025-06-23,Trainer,Skills4Future,Cab,76.96,19.24,9.24,0.24,0.2,52,1.04,10.29
2025-06-01,Trainer,SkillsBuild,Taxi,13.14,3.55,1.71,0.24,0.2,45,0.9,2.64
2025-06-02,Trainer,Code Unnati,Taxi,96.84,26.15,12.59,0.24,0.2,53,1.06,13.66
2025-06-26,Trainer,SkillsBuild,Cab,31.49,7.87,3.78,0.24,0.2,45,0.9,4.71
2025-06-20,Trainer,Skills4Future,Cab,67.44,16.86,8.09,0.24,0.2,52,1.04,9.14
2025-06-10,Trainer,SkillSaksham,Auto,54.54,10.91,4.91,0.24,0.2,58,1.16,6.06
2025-06-22,Trainer,Code Unnati,Cab,53.26,13.32,6.39,0.24,0.2,57,1.14,7.52
2025-06-21,Trainer,SkillSaksham,Auto,57.24,11.45,5.15,0.24,0.2,37,0.74,5.96
2025-06-07,Trainer,TechSaksham,Auto,34.03,6.81,3.06,0.24,0.2,53,1.06,4.13
2025-06-14,Trainer,SkillSaksham,Taxi,11.18,3.02,1.45,0.24,0.2,47,0.94,2.42
2025-07-07,Trainer,Code Unnati,Auto,60.82,12.16,5.47,0.24,0.2,57,1.14,6.61
2025-07-27,Trainer,Skills4Future,Cab,57.94,14.48,6.95,0.24,0.2,43,0.86,7.85
2025-07-17,Trainer,SkillSaksham,Cab,58.79,14.7,7.05,0.24,0.2,45,0.9,7.99
2025-07-30,Trainer,SkillsBuild,Auto,42.69,8.54,3.84,0.24,0.2,45,0.9,4.78
2025-07-05,Trainer,SkillsBuild,Taxi,23.81,6.43,3.1,0.24,0.2,40,0.8,3.95
2025-07-31,Trainer,Code Unnati,Cab,73.51,18.38,8.82,0.24,0.2,41,0.82,9.69
2025-07-03,Trainer,Skills4Future,Cab,49.85,12.46,5.98,0.24,0.2,52,1.04,7.03
2025-07-26,Trainer,Skills4Future,Taxi,99.14,26.77,12.89,0.24,0.2,49,0.98,13.89
2025-07-22,Trainer,TechSaksham,Flight,889.23,444.61,133.38,0.24,0.2,55,1.1,134.48
2025-07-08,Trainer,TechSaksham,Cab,83.98,20.99,10.08,0.24,0.2,58,1.16,11.23
2025-07-02,Trainer,Skills4Future,Cab,66.01,16.5,7.92,0.24,0.2,53,1.06,8.99
2025-07-11,Trainer,TechSaksham,Flight,1383.25,691.63,207.49,0.24,0.2,50,1.0,208.5
2025-07-09,Trainer,Code Unnati,Cab,61.38,15.34,7.37,0.24,0.2,49,0.98,8.37
2025-07-25,Trainer,SkillSaksham,Auto,90.9,18.18,8.18,0.24,0.2,47,0.94,9.15
2025-07-04,Trainer,SkillSaksham,Taxi,54.41,14.69,7.07,0.24,0.2,51,1.02,8.11
2025-07-14,Trainer,SkillsBuild,Taxi,69.84,18.86,9.08,0.24,0.2,52,1.04,10.13
2025-07-10,Trainer,SkillSaksham,Taxi,10.52,2.84,1.37,0.24,0.2,51,1.02,2.4
2025-07-12,Trainer,SkillSaksham,Cab,74.4,18.6,8.93,0.24,0.2,58,1.16,10.08
2025-08-07,Trainer,Skills4Future,Auto,60.49,12.1,5.44,0.24,0.2,41,0.82,6.31
2025-08-05,Trainer,Code Unnati,Flight,1033.52,516.76,155.03,0.24,0.2,52,1.04,156.08
2025-08-12,Trainer,SkillSaksham,Taxi,31.12,8.4,4.05,0.24,0.2,60,1.2,5.23
2025-08-15,Trainer,Skills4Future,Flight,1097.13,548.57,164.57,0.24,0.2,60,1.2,165.75
2025-08-29,Trainer,Skills4Future,Cab,72.1,18.03,8.65,0.24,0.2,47,0.94,9.62
2025-08-02,Trainer,Code Unnati,Taxi,28.47,7.69,3.7,0.24,0.2,52,1.04,4.75
2025-08-16,Trainer,TechSaksham,Auto,66.14,13.23,5.95,0.24,0.2,46,0.92,6.9
2025-08-06,Trainer,TechSaksham,Cab,49.06,12.27,5.89,0.24,0.2,49,0.98,6.89
2025-08-09,Trainer,Code Unnati,Taxi,94.46,25.5,12.28,0.24,0.2,59,1.18,13.44
2025-08-01,Trainer,TechSaksham,Taxi,35.44,9.57,4.61,0.24,0.2,42,0.84,5.49
2025-08-21,Trainer,SkillSaksham,Flight,1362.71,681.36,204.41,0.24,0.2,44,0.88,205.33
2025-08-19,Trainer,SkillsBuild,Auto,42.23,8.45,3.8,0.24,0.2,53,1.06,4.87
2025-08-31,Trainer,TechSaksham,Cab,13.73,3.43,1.65,0.24,0.2,45,0.9,2.58
2025-08-18,Trainer,Skills4Future,Taxi,32.75,8.84,4.26,0.24,0.2,47,0.94,5.23
2025-08-04,Trainer,TechSaksham,Auto,38.54,7.71,3.47,0.24,0.2,47,0.94,4.44
2025-08-13,Trainer,Skills4Future,Taxi,85.47,23.08,11.11,0.24,0.2,60,1.2,12.29
2025-08-20,Trainer,TechSaksham,Auto,33.79,6.76,3.04,0.24,0.2,49,0.98,4.04
2025-08-14,Trainer,SkillSaksham,Taxi,32.21,8.7,4.19,0.24,0.2,45,0.9,5.12
2025-09-18,Trainer,SkillSaksham,Cab,72.95,18.24,8.75,0.24,0.2,55,1.1,9.85
2025-09-02,Trainer,SkillsBuild,Cab,94.7,23.67,11.36,0.24,0.2,50,1.0,12.38
2025-09-16,Trainer,SkillSaksham,Cab,86.7,21.68,10.4,0.24,0.2,57,1.14,11.54
2025-09-12,Trainer,SkillSaksham,Taxi,17.05,4.6,2.22,0.24,0.2,59,1.18,3.38
2025-09-09,Trainer,SkillsBuild,Cab,52.01,13.0,6.24,0.24,0.2,50,1.0,7.26
2025-09-08,Trainer,Code Unnati,Auto,52.97,10.59,4.77,0.24,0.2,51,1.02,5.8
2025-09-28,Trainer,Code Unnati,Cab,37.39,9.35,4.49,0.24,0.2,45,0.9,5.42
2025-09-30,Trainer,SkillSaksham,Auto,38.09,7.62,3.43,0.24,0.2,59,1.18,4.59
2025-09-01,Trainer,TechSaksham,Auto,90.71,18.14,8.16,0.24,0.2,53,1.06,9.23
2025-09-17,Trainer,SkillSaksham,Taxi,54.44,14.7,7.08,0.24,0.2,47,0.94,8.04
2025-09-25,Trainer,SkillSaksham,Taxi,63.79,17.22,8.29,0.24,0.2,57,1.14,9.42
2025-09-13,Trainer,TechSaksham,Flight,1084.97,542.48,162.74,0.24,0.2,50,1.0,163.76
2025-09-29,Trainer,Skills4Future,Cab,84.0,21.0,10.08,0.24,0.2,53,1.06,11.15
2025-09-21,Trainer,SkillSaksham,Cab,37.09,9.27,4.45,0.24,0.2,54,1.08,5.53
2025-09-10,Trainer,Skills4Future,Auto,96.12,19.22,8.65,0.24,0.2,42,0.84,9.54
2025-10-31,Trainer,Skills4Future,Auto,67.86,13.57,6.11,0.24,0.2,43,0.86,7.01
2025-10-10,Trainer,SkillsBuild,Cab,51.08,12.77,6.13,0.24,0.2,41,0.82,7.0
2025-10-19,Trainer,TechSaksham,Cab,33.44,8.36,4.01,0.24,0.2,53,1.06,5.08
2025-10-08,Trainer,TechSaksham,Cab,78.63,19.66,9.44,0.24,0.2,49,0.98,10.44
2025-10-18,Trainer,TechSaksham,Cab,65.09,16.27,7.81,0.24,0.2,58,1.16,8.96
2025-10-24,Trainer,Code Unnati,Cab,93.46,23.36,11.21,0.24,0.2,59,1.18,12.38
2025-10-16,Trainer,SkillsBuild,Auto,41.2,8.24,3.71,0.24,0.2,61,1.22,4.91
2025-10-12,Trainer,TechSaksham,Cab,45.78,11.44,5.49,0.24,0.2,44,0.88,6.41
2025-10-17,Trainer,SkillSaksham,Taxi,92.99,25.11,12.09,0.24,0.2,57,1.14,13.22
2025-10-28,Trainer,SkillSaksham,Auto,61.81,12.36,5.56,0.24,0.2,43,0.86,6.46
2025-10-21,Trainer,Code Unnati,Cab,73.04,18.26,8.77,0.24,0.2,40,0.8,9.62
2025-10-06,Trainer,Code Unnati,Taxi,68.56,18.51,8.91,0.24,0.2,52,1.04,9.96
2025-10-29,Trainer,SkillSaksham,Taxi,35.44,9.57,4.61,0.24,0.2,56,1.12,5.72
2025-10-11,Trainer,TechSaksham,Cab,75.46,18.86,9.05,0.24,0.2,47,0.94,10.02
2025-10-04,Trainer,TechSaksham,Taxi,32.43,8.76,4.22,0.24,0.2,49,0.98,5.22
2025-10-26,Trainer,SkillSaksham,Cab,54.13,13.53,6.5,0.24,0.2,49,0.98,7.5
2025-10-30,Trainer,SkillSaksham,Cab,14.21,3.55,1.71,0.24,0.2,52,1.04,2.75
2025-10-27,Trainer,Skills4Future,Flight,1433.36,716.68,215.0,0.24,0.2,52,1.04,216.05
2025-11-04,Trainer,SkillsBuild,Cab,23.69,5.92,2.84,0.24,0.2,47,0.94,3.81
2025-11-17,Trainer,Code Unnati,Auto,10.39,2.08,0.94,0.24,0.2,54,1.08,2.02
2025-11-10,Trainer,SkillSaksham,Auto,91.85,18.37,8.27,0.24,0.2,43,0.86,9.17
2025-11-23,Trainer,Skills4Future,Cab,72.13,18.03,8.66,0.24,0.2,46,0.92,9.61
2025-11-29,Trainer,SkillsBuild,Cab,62.44,15.61,7.49,0.24,0.2,51,1.02,8.53
2025-11-30,Trainer,SkillsBuild,Cab,79.65,19.91,9.56,0.24,0.2,49,0.98,10.56
2025-11-15,Trainer,SkillsBuild,Cab,99.0,24.75,11.88,0.24,0.2,48,0.96,12.86
2025-11-13,Trainer,Code Unnati,Auto,69.43,13.89,6.25,0.24,0.2,46,0.92,7.2
2025-11-05,Trainer,SkillsBuild,Auto,70.97,14.19,6.39,0.24,0.2,52,1.04,7.44
2025-11-02,Trainer,SkillsBuild,Taxi,16.74,4.52,2.18,0.24,0.2,51,1.02,3.21
2025-11-27,Trainer,SkillsBuild,Cab,21.64,5.41,2.6,0.24,0.2,44,0.88,3.52
2025-11-20,Trainer,TechSaksham,Flight,1411.61,705.81,211.74,0.24,0.2,52,1.04,212.79
2025-11-03,Trainer,Skills4Future,Auto,26.62,5.32,2.4,0.24,0.2,53,1.06,3.46
2025-11-25,Trainer,Skills4Future,Cab,40.99,10.25,4.92,0.24,0.2,51,1.02,5.95
2025-11-18,Trainer,TechSaksham,Taxi,56.97,15.38,7.41,0.24,0.2,45,0.9,8.34
2025-11-12,Trainer,Skills4Future,Auto,54.42,10.88,4.9,0.24,0.2,54,1.08,5.98
2025-11-11,Trainer,Code Unnati,Taxi,93.7,25.3,12.18,0.24,0.2,52,1.04,13.23
2025-11-21,Trainer,SkillSaksham,Cab,25.59,6.4,3.07,0.24,0.2,47,0.94,4.04
2025-12-22,Trainer,TechSaksham,Auto,96.22,19.24,8.66,0.24,0.2,52,1.04,9.71
2025-12-01,Trainer,Skills4Future,Auto,57.82,11.56,5.2,0.24,0.2,52,1.04,6.25
2025-12-11,Trainer,TechSaksham,Cab,55.66,13.91,6.68,0.24,0.2,43,0.86,7.58
2025-12-03,Trainer,TechSaksham,Flight,1384.11,692.05,207.62,0.24,0.2,46,0.92,208.57
2025-12-18,Trainer,SkillsBuild,Cab,91.83,22.96,11.02,0.24,0.2,49,0.98,12.02
2025-12-25,Trainer,SkillSaksham,Auto,34.31,6.86,3.09,0.24,0.2,49,0.98,4.09
2025-12-10,Trainer,TechSaksham,Taxi,56.25,15.19,7.31,0.24,0.2,50,1.0,8.33
2025-12-17,Trainer,SkillsBuild,Taxi,92.89,25.08,12.08,0.24,0.2,54,1.08,13.16
2025-12-23,Trainer,SkillsBuild,Cab,86.68,21.67,10.4,0.24,0.2,39,0.78,11.24
2025-12-04,Trainer,SkillsBuild,Taxi,75.77,20.46,9.85,0.24,0.2,47,0.94,10.82
2025-12-16,Trainer,Skills4Future,Taxi,38.07,10.28,4.95,0.24,0.2,48,0.96,5.93
2025-12-07,Trainer,TechSaksham,Cab,31.41,7.85,3.77,0.24,0.2,51,1.02,4.8
2025-12-29,Trainer,SkillsBuild,Cab,45.39,11.35,5.45,0.24,0.2,53,1.06,6.51
2025-12-06,Trainer,SkillsBuild,Cab,57.41,14.35,6.89,0.24,0.2,54,1.08,7.97
2025-12-20,Trainer,SkillSaksham,Cab,46.85,11.71,5.62,0.24,0.2,44,0.88,6.54
2025-12-14,Trainer,SkillsBuild,Cab,45.84,11.46,5.5,0.24,0.2,43,0.86,6.4
2025-12-08,Trainer,SkillSaksham,Taxi,20.6,5.56,2.68,0.24,0.2,46,0.92,3.63
2025-01-16,Trainer,SkillsBuild,Cab,11.58,2.89,1.39,0.24,0.2,40,0.8,2.24
2025-01-18,Trainer,Skills4Future,Flight,1231.79,615.89,184.77,0.24,0.2,46,0.92,185.72
2025-01-27,Trainer,SkillsBuild,Auto,31.76,6.35,2.86,0.24,0.2,46,0.92,3.81
2025-01-24,Trainer,SkillsBuild,Taxi,80.72,21.79,10.49,0.24,0.2,47,0.94,11.46
2025-01-05,Trainer,Code Unnati,Taxi,89.27,24.1,11.61,0.24,0.2,48,0.96,12.59
2025-01-25,Trainer,SkillsBuild,Auto,84.88,16.98,7.64,0.24,0.2,54,1.08,8.72
2025-01-10,Trainer,Code Unnati,Cab,25.37,6.34,3.04,0.24,0.2,57,1.14,4.18
2025-01-15,Trainer,SkillSaksham,Cab,80.83,20.21,9.7,0.24,0.2,49,0.98,10.7
2025-01-20,Trainer,TechSaksham,Auto,74.83,14.97,6.73,0.24,0.2,45,0.9,7.67
2025-01-13,Trainer,TechSaksham,Auto,26.4,5.28,2.38,0.24,0.2,49,0.98,3.38
2025-01-30,Trainer,Code Unnati,Cab,84.45,21.11,10.13,0.24,0.2,43,0.86,11.04
2025-01-14,Trainer,Code Unnati,Cab,30.58,7.65,3.67,0.24,0.2,48,0.96,4.65
2025-01-02,Trainer,Skills4Future,Taxi,89.92,24.28,11.69,0.24,0.2,48,0.96,12.67
2025-01-03,Trainer,Skills4Future,Cab,61.4,15.35,7.37,0.24,0.2,62,1.24,8.58
2025-01-01,Trainer,Code Unnati,Cab,16.1,4.03,1.93,0.24,0.2,53,1.06,3.0
2025-01-09,Trainer,SkillsBuild,Cab,92.74,23.19,11.13,0.24,0.2,43,0.86,12.03
2025-01-19,Trainer,SkillsBuild,Cab,26.29,6.57,3.15,0.24,0.2,50,1.0,4.17
2025-01-21,Trainer,Code Unnati,Taxi,89.66,24.21,11.66,0.24,0.2,47,0.94,12.62
2025-01-08,Trainer,SkillSaksham,Auto,69.97,13.99,6.3,0.24,0.2,50,1.0,7.31
2025-01-29,Trainer,SkillsBuild,Taxi,20.55,5.55,2.67,0.24,0.2,41,0.82,3.54
2025-02-02,Trainer,TechSaksham,Auto,32.62,6.52,2.94,0.24,0.2,57,1.14,4.07
2025-02-13,Trainer,SkillsBuild,Taxi,41.97,11.33,5.46,0.24,0.2,48,0.96,6.44
2025-02-01,Trainer,SkillSaksham,Cab,71.22,17.8,8.55,0.24,0.2,53,1.06,9.61
2025-02-04,Trainer,Code Unnati,Cab,51.52,12.88,6.18,0.24,0.2,43,0.86,7.08
2025-02-14,Trainer,Code Unnati,Auto,23.91,4.78,2.15,0.24,0.2,58,1.16,3.3
2025-02-26,Trainer,Code Unnati,Auto,65.31,13.06,5.88,0.24,0.2,56,1.12,6.99
2025-02-22,Trainer,SkillsBuild,Cab,95.51,23.88,11.46,0.24,0.2,40,0.8,12.31
2025-02-12,Trainer,Skills4Future,Taxi,77.3,20.87,10.05,0.24,0.2,52,1.04,11.1
2025-02-24,Trainer,SkillSaksham,Cab,33.17,8.29,3.98,0.24,0.2,46,0.92,4.93
2025-02-08,Trainer,SkillSaksham,Cab,62.91,15.73,7.55,0.24,0.2,60,1.2,8.73
2025-02-18,Trainer,SkillSaksham,Cab,16.97,4.24,2.04,0.24,0.2,57,1.14,3.17
2025-02-09,Trainer,SkillsBuild,Taxi,74.69,20.17,9.71,0.24,0.2,54,1.08,10.79
2025-02-16,Trainer,SkillsBuild,Cab,45.92,11.48,5.51,0.24,0.2,50,1.0,6.53
2025-02-21,Trainer,TechSaksham,Cab,95.62,23.91,11.47,0.24,0.2,52,1.04,12.52
2025-02-15,Trainer,SkillsBuild,Auto,33.51,6.7,3.02,0.24,0.2,38,0.76,3.84
2025-02-28,Trainer,SkillsBuild,Flight,992.81,496.4,148.92,0.24,0.2,51,1.02,149.95
2025-03-24,Trainer,SkillSaksham,Cab,66.76,16.69,8.01,0.24,0.2,34,0.68,8.77
2025-03-28,Trainer,SkillsBuild,Flight,1309.58,654.79,196.44,0.24,0.2,52,1.04,197.49
2025-03-23,Trainer,TechSaksham,Auto,75.52,15.1,6.8,0.24,0.2,51,1.02,7.83
2025-03-29,Trainer,SkillSaksham,Cab,29.01,7.25,3.48,0.24,0.2,54,1.08,4.56
2025-03-21,Trainer,Skills4Future,Cab,38.11,9.53,4.57,0.24,0.2,47,0.94,5.54
2025-03-12,Trainer,Code Unnati,Auto,21.71,4.34,1.95,0.24,0.2,57,1.14,3.09
2025-03-17,Trainer,SkillsBuild,Cab,38.94,9.74,4.67,0.24,0.2,41,0.82,5.54
2025-03-03,Trainer,SkillSaksham,Cab,82.37,20.59,9.88,0.24,0.2,52,1.04,10.93
2025-03-05,Trainer,SkillSaksham,Auto,49.52,9.9,4.46,0.24,0.2,44,0.88,5.37
2025-03-08,Trainer,Skills4Future,Auto,54.61,10.92,4.91,0.24,0.2,50,1.0,5.93
2025-03-15,Trainer,TechSaksham,Taxi,98.92,26.71,12.86,0.24,0.2,50,1.0,13.88
2025-03-31,Trainer,Skills4Future,Taxi,92.66,25.02,12.05,0.24,0.2,55,1.1,13.14
2025-03-13,Trainer,SkillSaksham,Flight,1410.59,705.29,211.59,0.24,0.2,43,0.86,212.49
2025-03-09,Trainer,SkillSaksham,Cab,52.87,13.22,6.34,0.24,0.2,55,1.1,7.44
2025-03-26,Trainer,Skills4Future,Auto,31.23,6.25,2.81,0.24,0.2,49,0.98,3.81
2025-03-01,Trainer,Code Unnati,Taxi,19.03,5.14,2.47,0.24,0.2,48,0.96,3.46
2025-03-04,Trainer,TechSaksham,Cab,71.12,17.78,8.53,0.24,0.2,50,1.0,9.55
2025-03-10,Trainer,TechSaksham,Cab,34.49,8.62,4.14,0.24,0.2,45,0.9,5.07
2025-03-30,Trainer,Skills4Future,Auto,66.26,13.25,5.96,0.24,0.2,45,0.9,6.9
2025-03-27,Trainer,Code Unnati,Cab,84.06,21.01,10.09,0.24,0.2,49,0.98,11.09
2025-04-03,Trainer,Skills4Future,Cab,33.28,8.32,3.99,0.24,0.2,47,0.94,4.96
